path,ok,rows,cols,na_cells,inf_cells,issue
experiments/adam_adamw_comparison/adam_l2_vs_adamw_comparison.csv,True,160,9,0,0,
experiments/adam_adamw_comparison/lr_schedule/lr_schedule_demo_results.csv,True,2,3,0,0,
experiments/advanced_ablation/AdvAblation_AMP_EMA_seed1011.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_AMP_EMA_seed1213.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_AMP_EMA_seed123.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_AMP_EMA_seed1415.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_AMP_EMA_seed1617.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_AMP_EMA_seed1819.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_AMP_EMA_seed2021.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_AMP_EMA_seed42.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_AMP_EMA_seed456.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_AMP_EMA_seed789.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_AMP_LabelSmoothing_seed1011.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_AMP_LabelSmoothing_seed1213.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_AMP_LabelSmoothing_seed123.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_AMP_LabelSmoothing_seed1415.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_AMP_LabelSmoothing_seed1617.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_AMP_LabelSmoothing_seed1819.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_AMP_LabelSmoothing_seed2021.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_AMP_LabelSmoothing_seed42.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_AMP_LabelSmoothing_seed456.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_AMP_LabelSmoothing_seed789.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_AMP_only_seed1011.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_AMP_only_seed1213.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_AMP_only_seed123.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_AMP_only_seed1415.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_AMP_only_seed1617.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_AMP_only_seed1819.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_AMP_only_seed2021.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_AMP_only_seed42.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_AMP_only_seed456.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_AMP_only_seed789.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_All_Combined_seed1011.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_All_Combined_seed1213.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_All_Combined_seed123.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_All_Combined_seed1415.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_All_Combined_seed1617.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_All_Combined_seed1819.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_All_Combined_seed2021.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_All_Combined_seed42.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_All_Combined_seed456.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_All_Combined_seed789.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_Baseline_seed1011.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_Baseline_seed1213.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_Baseline_seed123.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_Baseline_seed1415.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_Baseline_seed1617.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_Baseline_seed1819.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_Baseline_seed2021.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_Baseline_seed42.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_Baseline_seed456.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_Baseline_seed789.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_EMA_only_seed1011.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_EMA_only_seed1213.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_EMA_only_seed123.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_EMA_only_seed1415.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_EMA_only_seed1617.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_EMA_only_seed1819.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_EMA_only_seed2021.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_EMA_only_seed42.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_EMA_only_seed456.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_EMA_only_seed789.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_LabelSmoothing_EMA_seed1011.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_LabelSmoothing_EMA_seed1213.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_LabelSmoothing_EMA_seed123.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_LabelSmoothing_EMA_seed1415.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_LabelSmoothing_EMA_seed1617.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_LabelSmoothing_EMA_seed1819.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_LabelSmoothing_EMA_seed2021.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_LabelSmoothing_EMA_seed42.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_LabelSmoothing_EMA_seed456.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_LabelSmoothing_EMA_seed789.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_LabelSmoothing_only_seed1011.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_LabelSmoothing_only_seed1213.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_LabelSmoothing_only_seed123.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_LabelSmoothing_only_seed1415.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_LabelSmoothing_only_seed1617.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_LabelSmoothing_only_seed1819.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_LabelSmoothing_only_seed2021.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_LabelSmoothing_only_seed42.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_LabelSmoothing_only_seed456.csv,True,10,6,0,0,
experiments/advanced_ablation/AdvAblation_LabelSmoothing_only_seed789.csv,True,10,6,0,0,
experiments/advanced_ablation/ablation_summary.csv,True,8,15,0,0,
experiments/beta_sensitivity_2d/rosenbrock/momentum/momentum_beta_sweep.csv,True,5,11,0,0,
