path,bytes,w,h,std,range,content_ratio,status
results/visualizations/2d_training_results.png,267747,4170,2955,19.189878463745117,217.0,1.0,ok
results/visualizations/mnist_training_results.png,316015,4170,2955,18.856088638305664,217.0,1.0,ok
results/visualizations/2d_trajectories/adam_beta_trajectories_rosenbrock.png,405640,1484,1185,37.51677703857422,255.0,0.9920274773391563,ok
results/visualizations/2d_trajectories/momentum_beta_trajectories_rosenbrock.png,429505,1484,1185,37.18782424926758,255.0,0.9923146473779385,ok
results/visualizations/2d_trajectories/optimizer_comparison_rosenbrock.png,408891,1484,1185,35.83595275878906,255.0,0.9943185824604501,ok
results/visualizations/static/2d_optimization/2d_optimization_train_loss.png,151293,2952,1752,24.014734268188477,217.0,1.0,ok
results/visualizations/static/robustness/robustness_convergence_rate.png,128487,2352,1452,47.00910568237305,226.0,1.0,ok
results/visualizations/static/robustness/robustness_final_loss_by_optimizer.png,127391,2352,1452,33.86127853393555,255.0,0.9971098976780794,ok
results/visualizations/static/robustness/robustness_iterations_to_convergence.png,140509,2352,1452,38.42469787597656,255.0,0.9973927587563951,ok
results/visualizations/static/sam_sensitivity/sam_rho_sweep.png,111102,2652,1452,24.88236427307129,217.0,1.0,ok
results/beta_sensitivity_2d/saddle_point/adam/adam_heatmaps.png,157052,2059,1780,85.4430923461914,255.0,0.9943195398660853,ok
results/beta_sensitivity_2d/rosenbrock/momentum/momentum_metrics.png,183957,2681,1480,33.52402877807617,255.0,0.9928468098833634,ok
results/beta_sensitivity_2d/rosenbrock/momentum/momentum_trajectories.png,176721,2684,1782,28.71112823486328,255.0,0.9962947072981847,ok
